URL,ASIN,Title,Brand,Fulfillment,BSR,Price,Monthly Sales,Monthly Revenue,Review Count,Reviews Rating,Seller,Number of Active Sellers,Last Year Sales,Size Tier,Length,Width,Height,Weight,Storage Fee (Jan - Sep),Storage Fee (Oct - Dec),Best Sales Period,Age (Month),Number of Images,Variation Count,Sales to Reviews
https://amazon.com/dp/B0D9WTMYDJ,B0D9WTMYDJ,"Orange Blossom Organic Raw Honey from Orange Tree Flowers, Sweet and Aromatic Honey from Sardinia, Italy - 4 x (250gr) 8.8 oz",WellEatable,FBA,35847,59.87,139,8321.93,116,4.7,WellEatable,1,0,Large Standard-Size,8,8,4,4,128.89,355.56,10/01/2024,25,8,8,1.19
https://amazon.com/dp/B073MVY76G,B073MVY76G,MEAT CHURCH HONEY HOG3,Meat Church,FBA,21368,29.78,322,9589.16,578,4.6,TripleA&S,9,4888,Large Standard-Size,2.72,7.68,9.41,2.65,98.97,273.02,06/01/2023,88,1,3,0.55
https://amazon.com/dp/B01JY8W100,B01JY8W100,"Savannah Bee Company Honey - Pure, Natural, Raw Honey",Savannah Bee Company,FBA,16471,28.38,335,9507.3,373,4.7,BIGFLY,3,3635,Large Standard-Size,3.78,5.55,16.65,2.2,175.86,485.14,09/01/2024,96,7,13,0.9
https://amazon.com/dp/B01GRV14K0,B01GRV14K0,"Wedderspoon Raw Premium Manuka Honey, KFactor 12, 17.6 Oz, Unpasteurized, Genuine New Zealand Honey, Non-GMO Superfood, Traceable From Our Hives To Your Home",Wedderspoon,Amazon,22380,31.99,400,12796,995,4.6,Amazon,4,0,Large Standard-Size,2.56,2.64,4.29,1.19,N/A,N/A,10/01/2024,160,7,3,0.4
https://amazon.com/dp/B01GRV10MC,B01GRV10MC,"Wedderspoon Raw Premium Manuka Honey, KFactor 12, 8.8 Oz, Unpasteurized, Genuine New Zealand Honey, Non-GMO Superfood, Traceable from Our Hives to Your Home",Wedderspoon,Amazon,22380,18.21,400,7284,995,4.6,Amazon,6,0,Large Standard-Size,2.32,2.36,3.31,0.62,N/A,N/A,10/01/2024,172,7,3,0.4
https://amazon.com/dp/B0D6HCQ5JQ,B0D6HCQ5JQ,"P.R.I Manuka Honey, Certified MGO 200+, Raw New Zealand Manuka Honey, 250g Jar",P.R.I,FBA,30101,22.49,274,6162.26,641,4.6,Pacific Resources International,1,0,Large Standard-Size,2.44,4.09,4.69,0.62,23.56,65.01,10/01/2024,5,6,2,0.43
https://amazon.com/dp/B00BTTITJK,B00BTTITJK,"Cox's Honey - Creamed Whipped Honey Raw Unfiltered, 40 OZ | 100% Pure Clover Delicious Honey - Product of the USA",Cox's Honey,FBA,14374,23,396,9108,1018,4.6,Cox's Honey,1,9214,Large Standard-Size,4.49,5.39,8.46,2.6,103.08,284.36,05/01/2024,82,5,1,0.39
https://amazon.com/dp/B009WHHL1I,B009WHHL1I,Tupelo Honey 32oz - 2 pound -Two pound Jar- from Sleeping Bear Farms Beekeepers in the Florida Apalachicola River Basin,Sleeping Bear Farms,FBM,34370,43,205,8815,960,4.8,SleepingBearFarms,1,2877,Large Standard-Size,2.52,3.86,6.89,2.16,N/A,N/A,12/01/2022,144,9,0,0.21
https://amazon.com/dp/B07DHSXZJ9,B07DHSXZJ9,"Nate's Texas 100% Pure, Raw & Unfiltered Honey - 32 oz. Squeeze Bottle - All-natural Sweetener",Nature Nate's,Amazon,22844,14.26,613,8741.38,2785,4.6,Amazon,1,0,Large Standard-Size,2.48,3.46,7.09,0.02,N/A,N/A,08/01/2024,77,9,2,0.22
https://amazon.com/dp/B0045EESQE,B0045EESQE,"Bonne Maman Honey Mini Jars - 1 case, 60 jars, 1 oz each Kosher",Bonne Maman,FBM,40618,100.98,170,17166.6,1206,4.7,Spring Street Specialty Foods,2,1956,Large Standard-Size,6.8,9.2,9.6,10.8,N/A,N/A,08/01/2023,169,2,2,0.14
https://amazon.com/dp/B00YYRR9FY,B00YYRR9FY,Bonne Maman Kosher Honey Mini Jars - 30 PCS x 1 OZ,Bonne Maman,FBA,38926,44.9,170,7633,1206,4.7,MARKY'S,4,1956,Large Standard-Size,4.65,5.79,9.49,5.53,128.64,354.87,08/01/2023,113,2,2,0.14
https://amazon.com/dp/B0037JQPUU,B0037JQPUU,"Gunter's Pure Buckwheat Honey, Buckwheat , 16 Ounce",Gunter's,FBA,9381,11.72,697,8168.84,1088,4.4,BEYOND YOUR HOME,8,9759,Large Standard-Size,2.87,3.66,6.34,1.52,33.53,92.5,11/01/2023,177,4,0,0.64
https://amazon.com/dp/B002MGYX4E,B002MGYX4E,"P.R.I Manuka Honey, Certified MGO 200+, Raw New Zealand Manuka Honey, 500g Jar",P.R.I,FBA,34383,34.99,261,9132.39,640,4.6,Pacific Resources International,4,0,Large Standard-Size,2.68,3.11,5.63,1.21,23.63,65.17,10/01/2024,245,6,2,0.41
https://amazon.com/dp/B0B5S6SPDK,B0B5S6SPDK,"P.R.I Manuka Honey, MGO 500+, 1.1LB New Zealand Raw Monofloral Manuka Honey (500g)",P.R.I,FBA,52796,69.99,123,8608.77,46,4.6,Pacific Resources International,1,1421,Large Standard-Size,2.72,3.19,4.72,1.21,20.61,56.84,01/01/2024,19,6,0,2.68
https://amazon.com/dp/B0CZSMHGRM,B0CZSMHGRM,"Dependable Food Raw Honey - 5 Lb. - Squeeze Bottle - 100% Pure, Raw, All Natural, Wildflower Honey - Hive to Bottle - 80 oz",Dependable Food,FBA,28224,29.99,287,8607.13,30,4.3,Dependable Foods,1,0,Large Standard-Size,3.98,4.02,9.02,5.45,72.66,200.44,08/01/2024,7,6,0,9.58
https://amazon.com/dp/B0BGMHFF8M,B0BGMHFF8M,"Eucalyptus Organic Raw Honey from Eucalyptus Flowers, Artisanal Complex Balsamic Honey from Sardinia, Italy - 4 x (250gr) 8.8 oz",WellEatable,FBA,35847,59.87,139,8321.93,115,4.7,WellEatable,2,0,Large Standard-Size,8,8,4,4,128.89,355.56,10/01/2024,25,7,8,1.2
https://amazon.com/dp/B0DHWW41LZ,B0DHWW41LZ,"Bee Harmony Coast-to-Coast Honey Flight, Mini Honey Gift Set, 4 Jars, 3 OZ Each, Premium Raw Honey, Made in the USA",Bee Harmony,FBM,18331,29.99,306,9176.94,747,4.7,Barkman Honey,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10/01/2024,1,3,3,0.41
